trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.2, 'e': 0.99}",20,0,-136.86470639706178,"{0: 12, 1: 0, 2: 5, 3: 1, 4: 2}",0
2,False,"{'a': 0.2, 'e': 0.9801}",20,0,-132.48195225295456,"{0: 11, 1: 4, 2: 1, 3: 2, 4: 2}",0
3,False,"{'a': 0.2, 'e': 0.970299}",20,0,-206.10194280113137,"{0: 10, 1: 0, 2: 4, 3: 3, 4: 3}",0
4,False,"{'a': 0.2, 'e': 0.96059601}",35,0,-223.10065452733062,"{0: 18, 1: 5, 2: 8, 3: 1, 4: 3}",0
5,False,"{'a': 0.2, 'e': 0.9509900498999999}",30,0,-180.20195367285427,"{0: 17, 1: 3, 2: 6, 3: 2, 4: 2}",0
6,False,"{'a': 0.2, 'e': 0.941480149401}",20,10,-45.90582918111357,"{0: 5, 1: 1, 2: 3, 3: 1, 4: 0}",1
7,False,"{'a': 0.2, 'e': 0.9320653479069899}",25,5,-135.1978811365714,"{0: 12, 1: 0, 2: 5, 3: 1, 4: 2}",1
8,False,"{'a': 0.2, 'e': 0.9227446944279201}",25,0,-104.79112165944655,"{0: 17, 1: 1, 2: 4, 3: 2, 4: 1}",0
9,False,"{'a': 0.2, 'e': 0.9135172474836408}",25,0,-229.50575407850266,"{0: 13, 1: 1, 2: 4, 3: 4, 4: 3}",0
10,False,"{'a': 0.2, 'e': 0.9043820750088044}",20,0,-88.02485107603181,"{0: 11, 1: 3, 2: 5, 3: 0, 4: 1}",0
11,False,"{'a': 0.2, 'e': 0.8953382542587164}",20,0,-72.22853357286135,"{0: 12, 1: 0, 2: 7, 3: 1, 4: 0}",0
12,False,"{'a': 0.2, 'e': 0.8863848717161292}",20,0,-75.48144875881381,"{0: 13, 1: 2, 2: 4, 3: 0, 4: 1}",0
13,False,"{'a': 0.2, 'e': 0.8775210229989678}",20,0,-94.27456489878837,"{0: 13, 1: 2, 2: 2, 3: 2, 4: 1}",0
14,False,"{'a': 0.2, 'e': 0.8687458127689782}",25,0,-56.97461608930735,"{0: 18, 1: 0, 2: 6, 3: 1, 4: 0}",0
15,False,"{'a': 0.2, 'e': 0.8600583546412884}",25,0,-244.99281533182432,"{0: 14, 1: 2, 2: 3, 3: 1, 4: 5}",0
16,False,"{'a': 0.2, 'e': 0.8514577710948755}",20,0,-90.17376272974579,"{0: 14, 1: 1, 2: 2, 3: 2, 4: 1}",0
17,False,"{'a': 0.2, 'e': 0.8429431933839268}",30,0,-223.26869553119903,"{0: 17, 1: 5, 2: 2, 3: 2, 4: 4}",0
18,False,"{'a': 0.2, 'e': 0.8345137614500875}",25,0,-110.35038005558633,"{0: 17, 1: 2, 2: 4, 3: 0, 4: 2}",0
19,False,"{'a': 0.2, 'e': 0.8261686238355866}",20,10,4.663582477050799,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 0}",1
20,False,"{'a': 0.2, 'e': 0.8179069375972308}",20,0,-59.97703828072999,"{0: 12, 1: 5, 2: 1, 3: 2, 4: 0}",0
21,False,"{'a': 0.2, 'e': 0.8097278682212584}",25,3,-138.26495795689044,"{0: 12, 1: 3, 2: 4, 3: 1, 4: 2}",1
22,False,"{'a': 0.2, 'e': 0.8016305895390459}",20,1,-40.3395343994975,"{0: 13, 1: 1, 2: 5, 3: 0, 4: 0}",1
23,False,"{'a': 0.2, 'e': 0.7936142836436554}",25,0,-69.34122524146686,"{0: 18, 1: 2, 2: 4, 3: 0, 4: 1}",0
24,False,"{'a': 0.2, 'e': 0.7856781408072188}",20,0,-44.97079101967478,"{0: 16, 1: 0, 2: 3, 3: 0, 4: 1}",0
25,False,"{'a': 0.2, 'e': 0.7778213593991467}",20,0,-164.7857102336186,"{0: 12, 1: 0, 2: 4, 3: 1, 4: 3}",0
26,False,"{'a': 0.2, 'e': 0.7700431458051551}",30,0,-162.88744904833197,"{0: 17, 1: 1, 2: 10, 3: 0, 4: 2}",0
27,False,"{'a': 0.2, 'e': 0.7623427143471035}",20,8,-1.5012976451740503,"{0: 10, 1: 0, 2: 2, 3: 0, 4: 0}",1
28,False,"{'a': 0.2, 'e': 0.7547192872036326}",20,0,-115.55000061674433,"{0: 12, 1: 2, 2: 2, 3: 3, 4: 1}",0
29,False,"{'a': 0.2, 'e': 0.7471720943315961}",20,6,-24.45437940962429,"{0: 11, 1: 0, 2: 2, 3: 1, 4: 0}",1
