trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 1.0}",25,0,-124.86657948271133,"{0: 13, 1: 4, 2: 4, 3: 4, 4: 0}",0
2,False,"{'a': 0.5, 'e': 1.0}",30,0,-317.38838629890404,"{0: 15, 1: 2, 2: 6, 3: 1, 4: 6}",0
3,False,"{'a': 0.5, 'e': 1.0}",25,0,-89.78072020925916,"{0: 17, 1: 4, 2: 2, 3: 1, 4: 1}",0
4,False,"{'a': 0.5, 'e': 1.0}",35,0,-213.1776591851423,"{0: 19, 1: 3, 2: 10, 3: 0, 4: 3}",0
5,False,"{'a': 0.5, 'e': 1.0}",20,0,-66.41516906151978,"{0: 12, 1: 1, 2: 7, 3: 0, 4: 0}",0
6,False,"{'a': 0.5, 'e': 1.0}",20,0,-108.59814128637238,"{0: 13, 1: 2, 2: 3, 3: 0, 4: 2}",0
7,False,"{'a': 0.5, 'e': 1.0}",20,0,-35.31619463741248,"{0: 14, 1: 4, 2: 1, 3: 1, 4: 0}",0
8,False,"{'a': 0.5, 'e': 1.0}",20,0,-50.163191265021325,"{0: 13, 1: 2, 2: 4, 3: 1, 4: 0}",0
9,False,"{'a': 0.5, 'e': 1.0}",25,0,-91.40038874739813,"{0: 16, 1: 2, 2: 6, 3: 0, 4: 1}",0
10,False,"{'a': 0.5, 'e': 1.0}",20,0,-105.60967962248088,"{0: 8, 1: 6, 2: 5, 3: 0, 4: 1}",0
11,False,"{'a': 0.5, 'e': 1.0}",20,0,-76.62615483374928,"{0: 13, 1: 2, 2: 4, 3: 0, 4: 1}",0
12,False,"{'a': 0.5, 'e': 1.0}",20,0,-97.34022774433099,"{0: 14, 1: 0, 2: 4, 3: 0, 4: 2}",0
13,False,"{'a': 0.5, 'e': 1.0}",20,0,-72.14065425788543,"{0: 10, 1: 5, 2: 4, 3: 1, 4: 0}",0
14,False,"{'a': 0.5, 'e': 1.0}",20,11,-37.59116007332116,"{0: 7, 1: 0, 2: 1, 3: 0, 4: 1}",1
15,False,"{'a': 0.5, 'e': 1.0}",35,0,-196.9372922077933,"{0: 19, 1: 4, 2: 8, 3: 2, 4: 2}",0
16,False,"{'a': 0.5, 'e': 1.0}",25,0,-149.98226568617088,"{0: 13, 1: 3, 2: 7, 3: 0, 4: 2}",0
17,False,"{'a': 0.5, 'e': 1.0}",20,0,-62.56902227824347,"{0: 12, 1: 2, 2: 5, 3: 1, 4: 0}",0
18,False,"{'a': 0.5, 'e': 1.0}",20,0,-78.7540786957818,"{0: 13, 1: 1, 2: 5, 3: 0, 4: 1}",0
19,False,"{'a': 0.5, 'e': 1.0}",25,0,-139.7087466777818,"{0: 15, 1: 2, 2: 5, 3: 1, 4: 2}",0
20,False,"{'a': 0.5, 'e': 1.0}",25,0,-82.073091140224,"{0: 17, 1: 0, 2: 6, 3: 2, 4: 0}",0
1,True,"{'a': 0.5, 'e': 1.0}",30,0,-125.30515809038684,"{0: 19, 1: 3, 2: 5, 3: 2, 4: 1}",0
2,True,"{'a': 0.5, 'e': 1.0}",20,0,-131.17913801025242,"{0: 12, 1: 1, 2: 4, 3: 1, 4: 2}",0
3,True,"{'a': 0.5, 'e': 1.0}",20,0,-133.5653768477409,"{0: 12, 1: 2, 2: 3, 3: 1, 4: 2}",0
4,True,"{'a': 0.5, 'e': 1.0}",20,0,-115.53057720461894,"{0: 12, 1: 4, 2: 1, 3: 1, 4: 2}",0
5,True,"{'a': 0.5, 'e': 1.0}",25,11,-17.93434936841059,"{0: 11, 1: 1, 2: 1, 3: 1, 4: 0}",1
6,True,"{'a': 0.5, 'e': 1.0}",20,0,-85.78907179598934,"{0: 10, 1: 3, 2: 6, 3: 1, 4: 0}",0
7,True,"{'a': 0.5, 'e': 1.0}",20,0,-62.15896789956183,"{0: 12, 1: 2, 2: 6, 3: 0, 4: 0}",0
8,True,"{'a': 0.5, 'e': 1.0}",20,0,-98.48020740836095,"{0: 13, 1: 2, 2: 2, 3: 2, 4: 1}",0
9,True,"{'a': 0.5, 'e': 1.0}",20,0,-24.702238486299283,"{0: 15, 1: 2, 2: 3, 3: 0, 4: 0}",0
10,True,"{'a': 0.5, 'e': 1.0}",20,15,9.372563305124428,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
